         3576813 function calls (3520281 primitive calls) in 30.587 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      792    0.004    0.000    0.062    0.000 transforms.py:2032(rotate_deg_around)
     5927    0.004    0.000    0.028    0.000 {method 'any' of 'numpy.ndarray' objects}
4313/4311    0.004    0.000    0.004    0.000 pyparsing.py:349(__init__)
       40    0.004    0.000    0.018    0.000 castgraph.py:95(propagate)
      406    0.004    0.000    0.030    0.000 core.py:2102(masked_inside)
     4360    0.004    0.000    0.016    0.000 numeric.py:2862(__exit__)
     3182    0.004    0.000    0.036    0.000 transforms.py:1266(__add__)
     4925    0.004    0.000    0.015    0.000 colors.py:98(_is_nth_color)
     1330    0.004    0.000    0.028    0.000 path.py:105(__init__)
7194/6275    0.004    0.000    0.007    0.000 transforms.py:2438(_get_is_affine)
  3843/28    0.004    0.000    0.167    0.006 pyparsing.py:3715(parseImpl)
     1981    0.004    0.000    0.016    0.000 transforms.py:1858(transform_affine)
      982    0.004    0.000    0.010    0.000 transforms.py:2545(get_matrix)
      807    0.004    0.000    0.009    0.000 transforms.py:2635(__init__)
     1224    0.004    0.000    0.005    0.000 font_manager.py:871(set_size)
     9407    0.004    0.000    0.004    0.000 transforms.py:1939(get_matrix)
      149    0.004    0.000    0.361    0.002 backend_tkagg.py:336(motion_notify_event)
      484    0.004    0.000    0.098    0.000 path.py:481(contains_point)
      875    0.004    0.000    0.005    0.000 artist.py:979(update_from)
     9452    0.004    0.000    0.013    0.000 threading.py:215(__exit__)
     4360    0.004    0.000    0.004    0.000 numeric.py:2853(__init__)
      407    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    19437    0.003    0.000    0.003    0.000 {min}
      879    0.003    0.000    0.152    0.000 transforms.py:1540(transform_path_non_affine)
     1744    0.003    0.000    0.013    0.000 lines.py:1178(set_markerfacecoloralt)
    233/2    0.003    0.000   27.689   13.845 Tkinter.py:1536(__call__)
       70    0.003    0.000    0.278    0.004 axis.py:966(_update_ticks)
      697    0.003    0.000    0.025    0.000 core.py:6709(concatenate)
      541    0.003    0.000    0.065    0.000 __init__.py:378(process)
        4    0.003    0.001    0.003    0.001 {method 'read' of 'file' objects}
      219    0.003    0.000    0.007    0.000 Tkinter.py:1187(nametowidget)
   483/44    0.003    0.000    0.159    0.004 pyparsing.py:3525(parseImpl)
     1205    0.003    0.000    0.004    0.000 font_manager.py:853(set_stretch)
  176/132    0.003    0.000    0.314    0.002 axis.py:780(reset_ticks)
      187    0.003    0.000    0.005    0.000 cycler.py:349(by_key)
     4496    0.003    0.000    0.012    0.000 re.py:138(match)
     1119    0.003    0.000    0.222    0.000 transforms.py:1503(transform_point)
     3165    0.003    0.000    0.010    0.000 artist.py:303(set_transform)
        1    0.003    0.003    0.006    0.006 __init__.py:180(<module>)
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
     6680    0.003    0.000    0.003    0.000 pyparsing.py:186(__init__)
     5684    0.003    0.000    0.004    0.000 six.py:601(itervalues)
      708    0.003    0.000    0.008    0.000 colors.py:142(_to_rgba_no_colorcycle)
    10157    0.003    0.000    0.005    0.000 sre_parse.py:142(__getitem__)
7056/6180    0.003    0.000    0.005    0.000 transforms.py:2214(_get_is_affine)
      664    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     1920    0.003    0.000    0.008    0.000 pyparsing.py:732(copy)
    22716    0.003    0.000    0.003    0.000 font_manager.py:726(get_family)
      173    0.003    0.000    0.048    0.000 patches.py:493(draw)
     1153    0.003    0.000    0.007    0.000 transforms.py:2733(__init__)
     2216    0.003    0.000    0.020    0.000 __init__.py:584(is_numlike)
  1606/47    0.003    0.000    0.178    0.004 pyparsing.py:3375(parseImpl)
    18125    0.003    0.000    0.003    0.000 font_manager.py:1151(score_style)
     3967    0.003    0.000    0.011    0.000 artist.py:184(convert_xunits)
     2447    0.003    0.000    0.004    0.000 artist.py:318(get_transform)
      484    0.003    0.000    0.014    0.000 patches.py:128(_process_radius)
     2054    0.003    0.000    0.003    0.000 {matplotlib._path.affine_transform}
     2255    0.003    0.000    0.012    0.000 core.py:1418(getmaskarray)
        1    0.003    0.003    0.098    0.098 __init__.py:101(<module>)
      686    0.003    0.000    0.102    0.000 backend_agg.py:265(_get_agg_font)
