         5576685 function calls (5385459 primitive calls) in 33.586 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.005    0.000    0.036    0.002 analysis.py:21(compute_use_defs)
     6381    0.005    0.000    0.005    0.000 core.py:3562(_get_data)
     4931    0.005    0.000    0.007    0.000 contextlib.py:82(helper)
     4803    0.005    0.000    0.088    0.000 {method 'view' of 'numpy.ndarray' objects}
      195    0.005    0.000    0.005    0.000 {built-in method globalsetvar}
    18704    0.005    0.000    0.006    0.000 _utils.py:66(_stringify_metadata)
4931/3817    0.005    0.000    0.111    0.000 contextlib.py:15(__enter__)
     4932    0.005    0.000    0.018    0.000 artist.py:66(_stale_axes_callback)
     1311    0.005    0.000    0.030    0.000 functools_lru_cache.py:120(wrapper)
    68069    0.005    0.000    0.005    0.000 {id}
     1044    0.005    0.000    0.013    0.000 stride_tricks.py:195(broadcast_arrays)
     1948    0.005    0.000    0.029    0.000 transforms.py:2058(scale)
      296    0.005    0.000    0.005    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     1009    0.005    0.000    0.012    0.000 transforms.py:2635(__init__)
    21591    0.005    0.000    0.005    0.000 instructions.py:89(callee)
     1714    0.005    0.000    0.013    0.000 lines.py:1053(set_linestyle)
     1170    0.005    0.000    0.016    0.000 backend_bases.py:859(__init__)
1351/1272    0.005    0.000    0.237    0.000 transforms.py:1410(transform)
      452    0.005    0.000    0.010    0.000 sre_compile.py:256(_optimize_charset)
        2    0.005    0.002    0.006    0.003 decoder.py:370(raw_decode)
     1296    0.005    0.000    0.022    0.000 instructions.py:164(descr)
      686    0.005    0.000    0.142    0.000 path.py:481(contains_point)
     2300    0.005    0.000    0.017    0.000 values.py:606(append_basic_block)
     1088    0.005    0.000    0.009    0.000 shape_base.py:330(column_stack)
     3852    0.005    0.000    0.012    0.000 font_manager.py:981(_normalize_font_family)
    27537    0.005    0.000    0.005    0.000 artist.py:202(axes)
     5321    0.005    0.000    0.011    0.000 collections.py:81(__delitem__)
     3428    0.005    0.000    0.008    0.000 lines.py:1021(_split_drawstyle_linestyle)
    15348    0.005    0.000    0.011    0.000 core.py:1354(getmask)
    18431    0.005    0.000    0.014    0.000 transforms.py:37(visit_Instruction)
    12763    0.005    0.000    0.007    0.000 six.py:604(iteritems)
2380/1915    0.005    0.000    0.289    0.000 transforms.py:2457(transform_non_affine)
     3566    0.005    0.000    0.044    0.000 transforms.py:1266(__add__)
     3782    0.005    0.000    0.025    0.000 fromnumeric.py:1934(any)
2332/1892    0.005    0.000    0.072    0.000 spines.py:440(get_spine_transform)
     1837    0.005    0.000    0.013    0.000 artist.py:872(_update_property)
     4472    0.005    0.000    0.024    0.000 __init__.py:1999(_to_unmasked_float_array)
